tag	rep	length	Time	Algorithm	WGD
no_wgd_legacy	15	100	0.48291802406311035	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	120	0.5868697166442871	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	140	0.6876285076141357	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	160	0.780451774597168	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	180	0.8853676319122314	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	200	0.9916901588439941	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	20	0.10496354103088379	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	40	0.18811655044555664	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	60	0.2921295166015625	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	80	0.38163185119628906	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	100	0.4865381717681885	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	120	0.5849015712738037	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	140	0.7033207416534424	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	160	0.7788126468658447	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	180	0.8814356327056885	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	16	200	0.9889354705810547	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	20	0.10279607772827148	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	40	0.18532347679138184	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	60	0.28160715103149414	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	80	0.40187621116638184	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	100	0.47851133346557617	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	120	0.5845992565155029	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	140	0.681894063949585	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	160	0.7883913516998291	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	180	0.8842461109161377	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	17	200	0.9957036972045898	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	20	0.10753321647644043	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	40	0.18934392929077148	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	60	0.2888011932373047	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	80	0.3971700668334961	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	100	0.485353946685791	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	120	0.5926108360290527	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	140	0.693767786026001	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	160	0.799445629119873	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	180	0.9012517929077148	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	18	200	0.9977936744689941	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	20	0.10653448104858398	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	40	0.1871321201324463	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	60	0.30886149406433105	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	80	0.3860509395599365	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	100	0.4846506118774414	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	120	0.6015357971191406	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	140	0.6878271102905273	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	160	0.7895333766937256	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	180	0.9235210418701172	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	19	200	1.008579969406128	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	20	0.10587954521179199	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	40	0.1895890235900879	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	60	0.2919454574584961	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	80	0.3877401351928711	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	100	0.4920690059661865	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	120	0.6600363254547119	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	140	0.695044755935669	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	160	0.8190369606018066	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	180	0.9258346557617188	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	20	200	1.0138287544250488	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	20	0.10970807075500488	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	40	0.18421053886413574	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	60	0.28524065017700195	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	80	0.3815169334411621	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	100	0.48026156425476074	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	120	0.5917294025421143	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	140	0.687105655670166	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	160	0.8022541999816895	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	180	0.9194269180297852	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	21	200	1.0120420455932617	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	20	0.10723423957824707	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	40	0.1991868019104004	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	60	0.2967057228088379	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	80	0.38960933685302734	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	100	0.49290990829467773	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	120	0.6011075973510742	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	140	0.7012181282043457	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	160	0.7969088554382324	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	180	0.9055027961730957	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	22	200	1.0074892044067383	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	20	0.10949969291687012	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	40	0.1892552375793457	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	60	0.29291796684265137	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	80	0.3932003974914551	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	100	0.5146124362945557	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	120	0.5952348709106445	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	140	0.7861649990081787	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	160	0.840789794921875	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	180	0.9804630279541016	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	23	200	1.1523759365081787	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	20	0.12142419815063477	"Legacy composition
(Schwarz et al. 2014)"	No WGD
